"Name","best_val","ID","State","Notes","User","Group","Job Type","Tags","Created","Updated","End Time","Runtime","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","attribute","batch_size","collections","data_root","dataset","debug","detection_classes","early_stop.delta","early_stop.patience","entity","hflip.apply","hflip.p","local_logs","logging","lr_scheduler.gamma","lr_scheduler.name","lr_scheduler.step_size","max_epochs","model","model_out_path","model_type","normalize.apply","normalize.max_pixel_value","normalize.mean","normalize.std","num_classes","num_workers","optimizer.lr","optimizer.momentum","optimizer.name","optimizer.weight_decay","rotate.apply","rotate.limit","rotate.p","sanity_epoch","sanity_num","segmentation_classes","shuffle","split_ratio","vflip.apply","vflip.p","wandb_project","class_metrics","grad_method","lr_scheduler.cooldown","lr_scheduler.milestones","lr_scheduler.patience","w_constant","weight","temperature","test_manifest","batch","best_val_loss","epoch","epoch_sanity","loss","lr-Adam","lr-SGD","train_loss","train_loss_epoch","train_loss_step","trainer/global_step","val_loss","val_loss_epoch","val_loss_step","val_miou","val_miou_step","val_result","val_map","val_miou_epoch","earlystop","train_det_epoch","train_det_step","train_master_epoch","train_master_step","train_seg_epoch","train_seg_step","val_det","val_map_step","val_master","val_seg"
"frcnn-hybrid_2v1_23-02-21T182529","0.8044783473014832","rk6lxw7j","crashed","-","bbejczy","","","constant","2023-02-21T17:25:33.000Z","2023-02-25T16:27:03.000Z","2023-02-22T17:24:36.000Z","86343","","n-62-12-24","","","https://github.com/ponderbb/multitask-mayhem/tree/eb3ffd64e0afcd293e0bf6073d0b8c108654d142","1","NVIDIA A100-PCIE-40GB","2v1","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","","","","","[2,1]","constant","","/work3/s202821/data/test/manifest.json","","","95","95","","1.0000000000000008e-14","","","","","19949","","","","","","","","","0.8042159676551819","","","","","","","","","",""
"frcnn-hybrid_dwa-10v1-cagrad_23-02-21T182427","0.7767566442489624","3etq5i1c","crashed","-","bbejczy","","","dwa-grad-constant","2023-02-21T17:24:31.000Z","2023-02-22T17:24:34.000Z","2023-02-22T17:24:34.000Z","86403","","n-62-12-22","","","https://github.com/ponderbb/multitask-mayhem/tree/eb3ffd64e0afcd293e0bf6073d0b8c108654d142","1","NVIDIA A100-PCIE-40GB","dwa-10v1-cagrad","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","cagrad","","","","[10,1]","dynamic","2","/work3/s202821/data/test/manifest.json","","","99","99","","1.0000000000000009e-15","","","","","20799","","","","","","","","","0.7761213183403015","","","","","","","","","",""
"frcnn-hybrid_dwa-10v1-graddrop_23-02-21T182345","0.7932801246643066","2ifax3fy","crashed","-","bbejczy","","","dwa-grad-constant","2023-02-21T17:23:49.000Z","2023-02-22T17:24:22.000Z","2023-02-22T17:24:22.000Z","86433","","n-62-12-23","","","https://github.com/ponderbb/multitask-mayhem/tree/eb3ffd64e0afcd293e0bf6073d0b8c108654d142","1","NVIDIA A100-PCIE-40GB","dwa-10v1-graddrop","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","graddrop","","","","[10,1]","dynamic","2","/work3/s202821/data/test/manifest.json","","","97","97","","1.0000000000000009e-15","","","","","20349","","","","","","","","","0.7930411696434021","","","","","","","","","",""
"frcnn-hybrid_dwa-10v1_23-02-21T182344","0.7910867929458618","2k2kpc1j","crashed","-","bbejczy","","","dwa-grad-constant","2023-02-21T17:23:48.000Z","2023-02-22T17:21:21.000Z","2023-02-22T17:21:21.000Z","86253","","n-62-12-24","","","https://github.com/ponderbb/multitask-mayhem/tree/eb3ffd64e0afcd293e0bf6073d0b8c108654d142","1","NVIDIA A100-PCIE-40GB","dwa-10v1","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","","","","","[10,1]","dynamic","2","/work3/s202821/data/test/manifest.json","","","97","97","","1.0000000000000009e-15","","","","","20349","","","","","","","","","0.7904428243637085","","","","","","","","","",""
"frcnn-hybrid_dwa-10v1-pcgrad_23-02-21T144644","0.7808200120925903","507ok9l9","crashed","-","bbejczy","","","dwa-grad-constant","2023-02-21T13:46:48.000Z","2023-02-22T13:45:51.000Z","2023-02-22T13:45:51.000Z","86343","","n-62-20-11","","","https://github.com/ponderbb/multitask-mayhem/tree/eb3ffd64e0afcd293e0bf6073d0b8c108654d142","1","Tesla V100-SXM2-32GB","dwa-10v1-pcgrad","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","pcgrad","","","","[10,1]","dynamic","2","/work3/s202821/data/test/manifest.json","","","91","91","","1.0000000000000008e-14","","","","","19099","","","","","","","","","0.7808200120925903","","","","","","","","","",""
"frcnn-hybrid_bmtl-graddrop_23-02-20T140735","0.7953893542289734","1hx7ni1c","crashed","-","bbejczy","","","bmtl-grad","2023-02-20T13:07:39.000Z","2023-02-21T13:07:12.000Z","2023-02-21T13:07:12.000Z","86373","","n-62-12-24","","","https://github.com/ponderbb/multitask-mayhem/tree/eb3ffd64e0afcd293e0bf6073d0b8c108654d142","1","NVIDIA A100-PCIE-40GB","bmtl-graddrop","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","graddrop","","","","","bmtl","0.8","/work3/s202821/data/test/manifest.json","","","97","97","","1.0000000000000009e-15","","","","","20349","","","","","","","","","0.7948401570320129","","","","","","","","","",""
"frcnn-hybrid_15v1_23-02-20T132858","0.7008916735649109","22jixyg9","crashed","-","bbejczy","","","constant","2023-02-20T12:29:03.000Z","2023-02-21T13:05:08.000Z","2023-02-21T12:29:05.000Z","86402","","n-62-20-6","","","https://github.com/ponderbb/multitask-mayhem/tree/eb3ffd64e0afcd293e0bf6073d0b8c108654d142","1","Tesla V100-PCIE-16GB","15v1","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","","","","","[15,1]","constant","0.4","/work3/s202821/data/test/manifest.json","","","72","72","","1.0000000000000006e-12","","","","","15149","","","","","","","","","0.7008916735649109","","","","","","","","","",""
"frcnn-hybrid_bmtl-cagrad_23-02-20T132609","0.7829546332359314","15wptbf7","finished","-","bbejczy","","","bmtl-grad","2023-02-20T12:26:15.000Z","2023-02-21T13:05:14.000Z","2023-02-21T11:38:48.000Z","83553","","n-62-12-23","","","https://github.com/ponderbb/multitask-mayhem/tree/eb3ffd64e0afcd293e0bf6073d0b8c108654d142","1","NVIDIA A100-PCIE-40GB","bmtl-cagrad","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","cagrad","","","","","bmtl","0.8","/work3/s202821/data/test/manifest.json","","","99","100","","1.0000000000000009e-15","","","","","20799","","","","","","","","","0.7827343940734863","","","","","","","","","",""
"frcnn-hybrid_bmtl-pcgrad_23-02-20T132549","0.7868313789367676","148xg2lj","crashed","-","bbejczy","","","bmtl-grad","2023-02-20T12:25:55.000Z","2023-02-21T13:05:38.000Z","2023-02-21T12:25:58.000Z","86403","","n-62-12-24","","","https://github.com/ponderbb/multitask-mayhem/tree/eb3ffd64e0afcd293e0bf6073d0b8c108654d142","1","NVIDIA A100-PCIE-40GB","bmtl-pcgrad","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","pcgrad","","","","","bmtl","0.8","/work3/s202821/data/test/manifest.json","","","91","91","","1.0000000000000008e-14","","","","","19099","","","","","","","","","0.7868313789367676","","","","","","","","","",""
"frcnn-hybrid_10v1-graddrop_23-02-19T151850","0.7949458360671997","dos7puv4","crashed","-","bbejczy","","","constant-grad","2023-02-19T14:18:53.000Z","2023-02-20T14:18:56.000Z","2023-02-20T14:18:56.000Z","86403","","n-62-12-22","","","https://github.com/ponderbb/multitask-mayhem/tree/3695bd97e0d4a4919c5ee68c008c44b415e21383","1","NVIDIA A100-PCIE-40GB","10v1-graddrop","8","[""2022-09-23-10-17-46"",""2022-09-23-10-39-51"",""2022-09-23-11-03-28"",""2022-09-23-11-09-28"",""2022-10-19-10-44-31"",""2022-10-19-11-07-11"",""2022-10-19-11-15-59"",""2022-10-19-11-20-39""]","/work3/s202821/data/interim","warehouse-nn","false","5","0","10","thesis-mayhem","false","0.1",".logging","true","0.1","steplr","8","100","frcnn-hybrid","/work3/s202821/models","[""detection"",""segmentation""]","false","255","[0.485,0.456,0.406]","[0.229,0.224,0.225]","","4","0.001","0.9","adam","0.0001","true","30","0.1","5","5","2","true","[0.8,0.2]","true","0.5","multitask-mayhem","false","graddrop","","","","[10,1]","constant","","/work3/s202821/data/test/manifest.json","","","99","99","","1.0000000000000009e-15","","","","","20799","","","","","","","","","0.7944060564041138","","","","","","","","","",""
